Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PurchaseProduct,Firefox 117.0,,,2023-09-24 16:16:02,2023-09-24 16:16:55,52.234s,PASSED
,,,,,,,
Test Cases/TC_QuizWeek3/TestScenarios_QuizWeek3/DemoBlaze_PurchaseProduct/TC_PurchaseProduct_Positive-Case,Firefox 117.0,,,2023-09-24 16:16:03,2023-09-24 16:16:24,21.504s,PASSED
openBrowser(baseURL),Firefox 117.0,,,2023-09-24 16:16:03,2023-09-24 16:16:10,6.688s,PASSED
"setViewPortSize(ViewPortWidth, ViewPortHeight)",Firefox 117.0,,,2023-09-24 16:16:10,2023-09-24 16:16:10,0.360s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/addProduct_SamsungS6""))",Firefox 117.0,,,2023-09-24 16:16:10,2023-09-24 16:16:12,1.827s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Product""), 0)",Firefox 117.0,,,2023-09-24 16:16:12,2023-09-24 16:16:13,1.271s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_AddToCart""))",Firefox 117.0,,,2023-09-24 16:16:13,2023-09-24 16:16:14,0.350s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/click_Cart""), 0)",Firefox 117.0,,,2023-09-24 16:16:14,2023-09-24 16:16:14,0.760s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_Cart""))",Firefox 117.0,,,2023-09-24 16:16:14,2023-09-24 16:16:15,0.968s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Cart""), 0)",Firefox 117.0,,,2023-09-24 16:16:15,2023-09-24 16:16:17,1.380s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/btn_PlaceOrder""))",Firefox 117.0,,,2023-09-24 16:16:17,2023-09-24 16:16:17,0.570s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_PlaceOrder""), 0)",Firefox 117.0,,,2023-09-24 16:16:17,2023-09-24 16:16:18,0.385s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Name""), customer_name)",Firefox 117.0,,,2023-09-24 16:16:18,2023-09-24 16:16:18,0.630s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Country""), customer_country)",Firefox 117.0,,,2023-09-24 16:16:18,2023-09-24 16:16:19,0.624s,PASSED
