Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PurchaseProduct_DDT,Firefox 117.0,,,2023-09-24 17:11:35,2023-09-24 17:12:34,59.039s,PASSED
,,,,,,,
Test Cases/TC_QuizWeek3/TestScenarios_QuizWeek3/DemoBlaze_PurchaseProduct/TC_PurchaseProduct_Positive-Case,Firefox 117.0,,,2023-09-24 17:11:35,2023-09-24 17:11:56,20.677s,PASSED
openBrowser(baseURL),Firefox 117.0,,,2023-09-24 17:11:36,2023-09-24 17:11:42,6.282s,PASSED
"setViewPortSize(ViewPortWidth, ViewPortHeight)",Firefox 117.0,,,2023-09-24 17:11:42,2023-09-24 17:11:42,0.332s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/addProduct_SamsungS6""))",Firefox 117.0,,,2023-09-24 17:11:42,2023-09-24 17:11:44,1.669s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Product""), 0)",Firefox 117.0,,,2023-09-24 17:11:44,2023-09-24 17:11:45,1.260s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_AddToCart""))",Firefox 117.0,,,2023-09-24 17:11:45,2023-09-24 17:11:46,0.363s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/click_Cart""), 0)",Firefox 117.0,,,2023-09-24 17:11:46,2023-09-24 17:11:46,0.661s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_Cart""))",Firefox 117.0,,,2023-09-24 17:11:46,2023-09-24 17:11:47,0.948s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Cart""), 0)",Firefox 117.0,,,2023-09-24 17:11:47,2023-09-24 17:11:48,1.284s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/btn_PlaceOrder""))",Firefox 117.0,,,2023-09-24 17:11:48,2023-09-24 17:11:49,0.541s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_PlaceOrder""), 0)",Firefox 117.0,,,2023-09-24 17:11:49,2023-09-24 17:11:49,0.418s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Name""), customer_name)",Firefox 117.0,,,2023-09-24 17:11:49,2023-09-24 17:11:50,0.629s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Country""), customer_country)",Firefox 117.0,,,2023-09-24 17:11:50,2023-09-24 17:11:51,0.637s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_City""), customer_city)",Firefox 117.0,,,2023-09-24 17:11:51,2023-09-24 17:11:51,0.614s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_CreditCard""), customer_creditCard)",Firefox 117.0,,,2023-09-24 17:11:51,2023-09-24 17:11:52,0.629s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Month""), customer_month)",Firefox 117.0,,,2023-09-24 17:11:52,2023-09-24 17:11:53,0.625s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Year""), customer_year)",Firefox 117.0,,,2023-09-24 17:11:53,2023-09-24 17:11:53,0.620s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/button_Purchase""))",Firefox 117.0,,,2023-09-24 17:11:53,2023-09-24 17:11:54,0.569s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/button_Purchase""), 0)",Firefox 117.0,,,2023-09-24 17:11:54,2023-09-24 17:11:55,0.794s,PASSED
